# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
0.050,0.700,0.250,0.045,0.706,0.249,0.068,0.927,0.005,0.410
0.050,0.650,0.300,0.045,0.658,0.297,0.072,0.904,0.023,0.385
0.050,0.600,0.350,0.045,0.611,0.344,0.071,0.888,0.042,0.330
0.050,0.550,0.400,0.045,0.562,0.393,0.085,0.858,0.057,0.310
0.050,0.500,0.450,0.045,0.508,0.447,0.084,0.809,0.107,0.289
0.050,0.450,0.500,0.045,0.453,0.502,0.083,0.778,0.139,0.253
0.050,0.400,0.550,0.045,0.403,0.552,0.084,0.699,0.218,0.233
0.050,0.350,0.600,0.045,0.346,0.609,0.090,0.583,0.327,0.211
0.050,0.300,0.650,0.045,0.292,0.663,0.064,0.468,0.468,0.188
0.050,0.250,0.700,0.045,0.243,0.712,0.099,0.389,0.512,0.175
0.050,0.200,0.750,0.045,0.188,0.767,0.079,0.330,0.591,0.165
0.050,0.150,0.800,0.045,0.144,0.811,0.074,0.194,0.732,0.145
0.050,0.100,0.850,0.045,0.099,0.856,0.077,0.194,0.729,0.114
0.050,0.050,0.900,0.045,0.053,0.902,0.128,0.103,0.769,0.053
0.050,0.000,0.950,0.045,0.000,0.955,0.000,0.000,0.000,0.000
0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000
0.000,0.950,0.050,0.000,0.950,0.050,0.000,1.000,0.000,0.776
0.000,0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.658
0.000,0.850,0.150,0.000,0.849,0.150,0.000,1.000,0.000,0.545
0.000,0.800,0.200,0.000,0.796,0.204,0.000,1.000,0.000,0.472
0.000,0.750,0.250,0.000,0.751,0.249,0.000,0.995,0.005,0.410
0.000,0.700,0.300,0.000,0.703,0.297,0.000,0.969,0.031,0.383
0.000,0.650,0.350,0.000,0.656,0.344,0.000,0.963,0.037,0.331
0.000,0.600,0.400,0.000,0.607,0.393,0.000,0.932,0.068,0.324
0.000,0.550,0.450,0.000,0.553,0.447,0.000,0.887,0.113,0.295
0.000,0.500,0.500,0.000,0.498,0.502,0.000,0.841,0.159,0.268
0.000,0.450,0.550,0.000,0.448,0.552,0.000,0.748,0.252,0.255
0.000,0.400,0.600,0.000,0.390,0.610,0.000,0.636,0.364,0.229
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.566,0.434,0.191
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.454,0.546,0.176
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.404,0.596,0.168
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.291,0.709,0.160
0.000,0.150,0.850,0.000,0.144,0.856,0.000,0.191,0.809,0.123
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.154,0.846,0.085
0.000,0.050,0.950,0.000,0.045,0.955,0.000,0.223,0.778,0.020
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
