# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd
0.067867,0.162824,0.179794,0.175897,0.027741,0.266068,0.080537,0.039272,0.802172
0.170337,0.183160,0.165235,0.155152,0.125583,0.105577,0.016672,0.078284,0.702870
0.127968,0.089190,0.248397,0.170266,0.027828,0.075603,0.234607,0.026141,0.340574
0.176030,0.102396,0.099385,0.122510,0.170544,0.071927,0.140214,0.116993,0.595035
0.045531,0.149814,0.135968,0.112272,0.145032,0.147882,0.120782,0.142718,0.698991
0.148730,0.145035,0.131914,0.160511,0.033821,0.187839,0.185914,0.006237,0.695888
0.189771,0.029614,0.077010,0.170857,0.036942,0.187967,0.191223,0.116615,0.668735
0.001614,0.072537,0.155902,0.247953,0.159664,0.065654,0.160218,0.136458,0.664856
0.154161,0.021148,0.150441,0.106999,0.190366,0.067582,0.125058,0.184245,0.145074
0.029678,0.271337,0.199149,0.019639,0.087132,0.205023,0.019499,0.168544,0.750194
0.073495,0.131936,0.009720,0.185190,0.206853,0.205873,0.159291,0.027642,0.862684
0.215610,0.006991,0.006291,0.092018,0.138944,0.219063,0.194293,0.126791,0.755625
0.068046,0.247967,0.105983,0.112252,0.040690,0.197655,0.172506,0.054901,0.765710
0.019763,0.163247,0.157013,0.065553,0.228106,0.036238,0.103714,0.226367,0.564779
0.098819,0.150332,0.093608,0.064560,0.231664,0.096372,0.210504,0.054140,0.574088
0.056741,0.008290,0.173513,0.098124,0.230145,0.125997,0.257792,0.049398,0.677269
0.180514,0.161390,0.160210,0.175560,0.158153,0.130139,0.027275,0.006759,0.730023
0.220619,0.147739,0.190837,0.115364,0.028105,0.029992,0.164250,0.103094,0.404965
0.063248,0.155056,0.020252,0.183562,0.084844,0.251561,0.097893,0.143583,0.827773
0.003415,0.021287,0.115328,0.141022,0.176306,0.085700,0.204209,0.252733,0.607448
0.238123,0.012097,0.146720,0.032040,0.073907,0.301271,0.043510,0.152332,0.714507
0.194835,0.221409,0.176395,0.003080,0.102897,0.163177,0.027694,0.110514,0.685027
0.011453,0.027104,0.136910,0.045777,0.195760,0.237815,0.276144,0.069037,0.737781
0.052733,0.032924,0.200386,0.222440,0.009945,0.294775,0.016364,0.170432,0.795966
0.135704,0.166691,0.136666,0.153439,0.064966,0.155946,0.015333,0.171255,0.704422
0.141835,0.211693,0.117158,0.166697,0.136347,0.189494,0.021143,0.015632,0.781226
0.065333,0.042183,0.230495,0.057959,0.258014,0.089073,0.048151,0.208792,0.510473
0.124723,0.094331,0.105155,0.136177,0.043257,0.188650,0.184572,0.123136,0.686579
0.060497,0.206232,0.021889,0.009293,0.078124,0.140258,0.263243,0.220463,0.640031
0.170399,0.097621,0.079368,0.085127,0.226596,0.009202,0.198923,0.132765,0.309542
0.093014,0.153801,0.103205,0.185221,0.191006,0.089432,0.058705,0.125616,0.700543
0.187456,0.043283,0.127996,0.129761,0.150627,0.027032,0.147075,0.186771,0.142746
