# Ag_i,Pt_i,Ru_i,Ag_f,Pt_f,Ru_f
0.295873,0.423905,0.280222,0.411553,0.577617,0.010830
0.296320,0.390825,0.312855,0.483193,0.512605,0.004202
0.296768,0.357743,0.345489,0.462963,0.527778,0.009259
0.297216,0.324659,0.378125,0.466667,0.523809,0.009524
0.297664,0.291573,0.410763,0.451613,0.526882,0.021505
0.298112,0.258485,0.443403,0.500000,0.473214,0.026786
0.298559,0.225396,0.476045,0.569061,0.403315,0.027624
0.299007,0.192305,0.508688,0.641177,0.323529,0.035294
0.299455,0.159212,0.541333,0.620253,0.354430,0.025317
0.299903,0.126117,0.573980,0.626437,0.293103,0.080460
0.300351,0.093021,0.606628,0.695946,0.270270,0.033784
0.300799,0.059922,0.639279,0.855172,0.124138,0.020690
0.301247,0.026822,0.671931,0.849558,0.079646,0.070796
0.299812,0.000000,0.700188,1.000000,0.000000,0.000000
0.311708,0.578743,0.109549,0.319277,0.680723,0.000000
0.312156,0.545672,0.142172,0.355932,0.644068,0.000000
0.312605,0.512598,0.174797,0.333333,0.663743,0.002924
0.313053,0.479523,0.207424,0.399329,0.600671,0.000000
0.313501,0.446447,0.240052,0.485342,0.508143,0.006515
0.313949,0.413369,0.272682,0.447826,0.552174,0.000000
0.314397,0.380289,0.305314,0.442149,0.549587,0.008264
0.314846,0.347206,0.337948,0.454545,0.528926,0.016529
0.315294,0.314123,0.370583,0.508475,0.474576,0.016949
0.315742,0.281037,0.403221,0.530612,0.459184,0.010204
0.316190,0.247950,0.435860,0.500000,0.473958,0.026042
0.316639,0.214861,0.468500,0.589474,0.410526,0.000000
0.317087,0.181770,0.501143,0.596774,0.397850,0.005376
0.317536,0.148677,0.533787,0.701657,0.287293,0.011050
0.317984,0.115583,0.566433,0.628931,0.301887,0.069182
0.318432,0.082486,0.599082,0.689923,0.224806,0.085271
0.318881,0.049388,0.631731,0.835821,0.111940,0.052239
0.319329,0.016288,0.664383,0.902174,0.054348,0.043478
0.314490,0.000000,0.685510,0.968421,0.000000,0.031579
0.330230,0.535135,0.134635,0.399471,0.600529,0.000000
0.330679,0.502062,0.167259,0.406977,0.590116,0.002907
0.331128,0.468987,0.199885,0.419263,0.577904,0.002833
0.331576,0.435911,0.232513,0.455738,0.534426,0.009836
0.332025,0.402832,0.265143,0.475352,0.524648,0.000000
0.332474,0.369752,0.297774,0.468504,0.523622,0.007874
0.332922,0.336671,0.330407,0.475285,0.513308,0.011407
0.333371,0.303587,0.363042,0.492126,0.500000,0.007874
0.333820,0.270502,0.395678,0.504545,0.495455,0.000000
0.334269,0.237415,0.428316,0.587444,0.390135,0.022421
0.334718,0.204326,0.460956,0.564356,0.415842,0.019802
0.335166,0.171235,0.493599,0.633880,0.349727,0.016393
0.335615,0.138143,0.526242,0.686391,0.313609,0.000000
0.336064,0.105048,0.558888,0.664706,0.323529,0.011765
0.336513,0.071952,0.591535,0.793103,0.200000,0.006897
0.336962,0.038854,0.624184,0.919355,0.064516,0.016129
0.337411,0.005755,0.656834,0.973913,0.017391,0.008696
0.348753,0.491525,0.159722,0.445141,0.554859,0.000000
0.349202,0.458451,0.192347,0.436066,0.563934,0.000000
0.349651,0.425375,0.224974,0.452555,0.547445,0.000000
0.350100,0.392297,0.257603,0.483660,0.516340,0.000000
0.350550,0.359217,0.290233,0.479675,0.520325,0.000000
0.350999,0.326135,0.322866,0.448980,0.551020,0.000000
0.351448,0.293052,0.355500,0.524390,0.471545,0.004065
0.351897,0.259967,0.388136,0.558952,0.441048,0.000000
0.352347,0.226880,0.420773,0.614286,0.385714,0.000000
0.352796,0.193791,0.453413,0.688889,0.300000,0.011111
0.353245,0.160701,0.486054,0.652941,0.311765,0.035294
0.353695,0.127608,0.518697,0.735632,0.247127,0.017241
0.354144,0.094514,0.551342,0.837209,0.133721,0.029070
0.354594,0.061418,0.583988,0.892857,0.100000,0.007143
0.355043,0.028320,0.616637,0.925373,0.052239,0.022388
0.367276,0.447915,0.184809,0.425595,0.574405,0.000000
0.367726,0.414839,0.217435,0.482540,0.514286,0.003174
0.368175,0.381761,0.250064,0.458904,0.530822,0.010274
0.368625,0.348682,0.282693,0.567797,0.427966,0.004237
0.369075,0.315600,0.315325,0.571984,0.420234,0.007782
0.369524,0.282517,0.347959,0.578740,0.413386,0.007874
0.369974,0.249432,0.380594,0.639640,0.355856,0.004504
0.370424,0.216345,0.413231,0.624413,0.361502,0.014085
0.370874,0.183257,0.445869,0.643678,0.350575,0.005747
0.371324,0.150166,0.478510,0.688172,0.295699,0.016129
0.371774,0.117074,0.511152,0.712644,0.258621,0.028735
0.372224,0.083980,0.543796,0.810457,0.176471,0.013072
0.372673,0.050885,0.576442,0.871212,0.121212,0.007576
0.385800,0.404303,0.209897,0.485294,0.514706,0.000000
0.386250,0.371226,0.242524,0.516981,0.483019,0.000000
0.386700,0.338146,0.275154,0.516729,0.483271,0.000000
0.387150,0.305065,0.307785,0.544747,0.451362,0.003891
0.387601,0.271982,0.340417,0.541045,0.458955,0.000000
0.388051,0.238897,0.373052,0.601770,0.380531,0.017699
0.388501,0.205811,0.405688,0.687151,0.312849,0.000000
0.388951,0.172723,0.438326,0.701493,0.288557,0.009950
0.389401,0.139633,0.470966,0.784431,0.209581,0.005988
0.389852,0.106540,0.503608,0.774011,0.214689,0.011300
0.390302,0.073447,0.536251,0.865592,0.129032,0.005376
0.404774,0.327612,0.267614,0.572438,0.427562,0.000000
0.405225,0.294531,0.300244,0.577982,0.417431,0.004587
0.405676,0.261448,0.332876,0.636735,0.363265,0.000000
0.406126,0.228364,0.365510,0.629787,0.365958,0.004255
0.406577,0.195277,0.398146,0.645161,0.349463,0.005376
0.407028,0.162189,0.430783,0.741758,0.252747,0.005495
0.407479,0.129099,0.463422,0.666667,0.308458,0.024875
