# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.30,0.20,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.10,0.60,0.00,0.29,0.11,0.60,0.00,0.30,0.10,0.60,0.00,0.9150
0.30,0.10,0.50,0.10,0.32,0.10,0.58,0.00,0.30,0.10,0.53,0.07,0.6483
0.30,0.10,0.40,0.20,0.35,0.14,0.51,0.00,0.31,0.10,0.45,0.14,0.4683
0.30,0.10,0.30,0.30,0.36,0.16,0.48,0.00,0.30,0.10,0.39,0.21,0.3367
0.30,0.10,0.20,0.40,0.40,0.17,0.43,0.00,0.29,0.12,0.31,0.28,0.2283
0.30,0.10,0.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.10,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.00,0.70,0.00,0.30,0.00,0.70,0.00,0.30,0.00,0.70,0.00,0.9350
0.30,0.00,0.60,0.10,0.32,0.00,0.68,0.00,0.31,0.00,0.63,0.07,0.6600
0.30,0.00,0.50,0.20,0.34,0.00,0.66,0.00,0.31,0.00,0.55,0.14,0.4733
0.30,0.00,0.40,0.30,0.44,0.00,0.56,0.00,0.31,0.00,0.49,0.21,0.3767
0.30,0.00,0.30,0.40,0.46,0.00,0.52,0.02,0.29,0.00,0.43,0.28,0.2550
0.30,0.00,0.20,0.50,0.52,0.00,0.48,0.00,0.29,0.00,0.39,0.33,0.1433
0.30,0.00,0.10,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.70,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.60,0.20,0.00,0.22,0.59,0.19,0.00,0.20,0.57,0.23,0.00,0.7350
0.20,0.60,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.50,0.30,0.00,0.21,0.52,0.27,0.00,0.20,0.49,0.31,0.00,0.7300
